"sample_id","image_path","crop_path","damage_class","component_class","severity_score","area_pixels","split"
"train_dacl10k_v2_train_0000_0","images/train/dacl10k_v2_train_0000.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0000_0.png","graffiti","bridge component unknown","0.07808991608796297","215903.0","train"
"train_dacl10k_v2_train_0000_1","images/train/dacl10k_v2_train_0000.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0000_1.png","graffiti","bridge component unknown","0.03321216724537037","91825.0","train"
"train_dacl10k_v2_train_0001_0","images/train/dacl10k_v2_train_0001.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0001_0.png","graffiti","drainage","0.5764754231770833","708373.0","train"
"train_dacl10k_v2_train_0001_7","images/train/dacl10k_v2_train_0001.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0001_7.png","wetspot","bridge component unknown","0.00330078125","4056.0","train"
"train_dacl10k_v2_train_0001_8","images/train/dacl10k_v2_train_0001.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0001_8.png","wetspot","drainage","0.0019010416666666668","2336.0","train"
"train_dacl10k_v2_train_0002_0","images/train/dacl10k_v2_train_0002.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0002_0.png","graffiti","bridge component unknown","0.19024691358024692","394496.0","train"
"train_dacl10k_v2_train_0003_0","images/train/dacl10k_v2_train_0003.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0003_0.png","graffiti","bridge component unknown","0.13731614583333332","263647.0","train"
"train_dacl10k_v2_train_0003_1","images/train/dacl10k_v2_train_0003.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0003_1.png","weathering","bridge component unknown","0.005856770833333334","11245.0","train"
"train_dacl10k_v2_train_0003_2","images/train/dacl10k_v2_train_0003.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0003_2.png","crack","bridge component unknown","0.0011046875","2121.0","train"
"train_dacl10k_v2_train_0003_3","images/train/dacl10k_v2_train_0003.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0003_3.png","rockpocket","bridge component unknown","0.0010223958333333333","1963.0","train"
"train_dacl10k_v2_train_0003_4","images/train/dacl10k_v2_train_0003.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0003_4.png","rockpocket","bridge component unknown","0.0012911458333333334","2479.0","train"
"train_dacl10k_v2_train_0003_5","images/train/dacl10k_v2_train_0003.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0003_5.png","spalling","bridge component unknown","0.0009","1728.0","train"
"train_dacl10k_v2_train_0003_7","images/train/dacl10k_v2_train_0003.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0003_7.png","crack","bridge component unknown","0.0021223958333333333","4075.0","train"
"train_dacl10k_v2_train_0003_8","images/train/dacl10k_v2_train_0003.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0003_8.png","spalling","bridge component unknown","0.0015838541666666666","3041.0","train"
"train_dacl10k_v2_train_0003_9","images/train/dacl10k_v2_train_0003.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0003_9.png","spalling","bridge component unknown","0.0005921875","1137.0","train"
"train_dacl10k_v2_train_0003_10","images/train/dacl10k_v2_train_0003.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0003_10.png","spalling","bridge component unknown","0.000340625","654.0","train"
"train_dacl10k_v2_train_0003_11","images/train/dacl10k_v2_train_0003.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0003_11.png","spalling","bridge component unknown","0.0009354166666666666","1796.0","train"
"train_dacl10k_v2_train_0003_13","images/train/dacl10k_v2_train_0003.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0003_13.png","wetspot","bridge component unknown","0.036711979166666665","70487.0","train"
"train_dacl10k_v2_train_0003_14","images/train/dacl10k_v2_train_0003.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0003_14.png","cavity","bridge component unknown","8.385416666666666e-05","161.0","train"
"train_dacl10k_v2_train_0003_15","images/train/dacl10k_v2_train_0003.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0003_15.png","rockpocket","bridge component unknown","0.0028791666666666666","5528.0","train"
"train_dacl10k_v2_train_0003_16","images/train/dacl10k_v2_train_0003.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0003_16.png","rockpocket","bridge component unknown","0.0017854166666666667","3428.0","train"
"train_dacl10k_v2_train_0003_17","images/train/dacl10k_v2_train_0003.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0003_17.png","rockpocket","bridge component unknown","0.0012708333333333332","2440.0","train"
"train_dacl10k_v2_train_0003_18","images/train/dacl10k_v2_train_0003.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0003_18.png","rockpocket","bridge component unknown","0.0005619791666666667","1079.0","train"
"train_dacl10k_v2_train_0003_19","images/train/dacl10k_v2_train_0003.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0003_19.png","rockpocket","bridge component unknown","0.00030729166666666665","590.0","train"
"train_dacl10k_v2_train_0003_20","images/train/dacl10k_v2_train_0003.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0003_20.png","rockpocket","bridge component unknown","0.0014005208333333333","2689.0","train"
"train_dacl10k_v2_train_0004_0","images/train/dacl10k_v2_train_0004.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0004_0.png","graffiti","bridge component unknown","0.17568033854166668","215876.0","train"
"train_dacl10k_v2_train_0004_1","images/train/dacl10k_v2_train_0004.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0004_1.png","weathering","bridge component unknown","0.1614453125","198384.0","train"
"train_dacl10k_v2_train_0005_0","images/train/dacl10k_v2_train_0005.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0005_0.png","graffiti","bridge component unknown","0.12047932942708334","148045.0","train"
"train_dacl10k_v2_train_0005_1","images/train/dacl10k_v2_train_0005.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0005_1.png","efflorescence","bridge component unknown","0.007395833333333333","9088.0","train"
"train_dacl10k_v2_train_0006_0","images/train/dacl10k_v2_train_0006.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0006_0.png","graffiti","bridge component unknown","0.30182916666666665","579512.0","train"
"train_dacl10k_v2_train_0006_1","images/train/dacl10k_v2_train_0006.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0006_1.png","graffiti","bridge component unknown","0.0011651041666666667","2237.0","train"
"train_dacl10k_v2_train_0006_2","images/train/dacl10k_v2_train_0006.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0006_2.png","rust","bridge component unknown","0.001334375","2562.0","train"
"train_dacl10k_v2_train_0006_3","images/train/dacl10k_v2_train_0006.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0006_3.png","rust","bridge component unknown","0.00019270833333333333","370.0","train"
"train_dacl10k_v2_train_0006_4","images/train/dacl10k_v2_train_0006.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0006_4.png","efflorescence","bridge component unknown","0.0007614583333333333","1462.0","train"
"train_dacl10k_v2_train_0006_5","images/train/dacl10k_v2_train_0006.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0006_5.png","efflorescence","bridge component unknown","0.0008130208333333333","1561.0","train"
"train_dacl10k_v2_train_0006_6","images/train/dacl10k_v2_train_0006.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0006_6.png","graffiti","bridge component unknown","0.006907291666666667","13262.0","train"
"train_dacl10k_v2_train_0007_1","images/train/dacl10k_v2_train_0007.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0007_1.png","weathering","bridge component unknown","0.23407083333333334","112354.0","train"
"train_dacl10k_v2_train_0007_2","images/train/dacl10k_v2_train_0007.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0007_2.png","graffiti","bridge component unknown","0.024427083333333332","11725.0","train"
"train_dacl10k_v2_train_0007_3","images/train/dacl10k_v2_train_0007.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0007_3.png","graffiti","bridge component unknown","0.043575","20916.0","train"
"train_dacl10k_v2_train_0007_4","images/train/dacl10k_v2_train_0007.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0007_4.png","graffiti","bridge component unknown","0.033910416666666665","16277.0","train"
"train_dacl10k_v2_train_0007_5","images/train/dacl10k_v2_train_0007.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0007_5.png","crack","bridge component unknown","0.013202083333333333","6337.0","train"
"train_dacl10k_v2_train_0007_6","images/train/dacl10k_v2_train_0007.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0007_6.png","graffiti","bridge component unknown","0.06392708333333333","30685.0","train"
"train_dacl10k_v2_train_0007_7","images/train/dacl10k_v2_train_0007.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0007_7.png","crack","bridge component unknown","0.011847916666666666","5687.0","train"
"train_dacl10k_v2_train_0007_8","images/train/dacl10k_v2_train_0007.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0007_8.png","efflorescence","bridge component unknown","0.0005145833333333334","247.0","train"
"train_dacl10k_v2_train_0007_9","images/train/dacl10k_v2_train_0007.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0007_9.png","efflorescence","bridge component unknown","0.0005333333333333334","256.0","train"
"train_dacl10k_v2_train_0008_0","images/train/dacl10k_v2_train_0008.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0008_0.png","graffiti","bridge component unknown","0.040614583333333336","19495.0","train"
"train_dacl10k_v2_train_0008_2","images/train/dacl10k_v2_train_0008.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0008_2.png","rust","bridge component unknown","0.00020208333333333333","97.0","train"
"train_dacl10k_v2_train_0008_4","images/train/dacl10k_v2_train_0008.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0008_4.png","rust","bridge component unknown","0.00011458333333333333","55.0","train"
"train_dacl10k_v2_train_0008_5","images/train/dacl10k_v2_train_0008.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0008_5.png","graffiti","bridge component unknown","0.002714583333333333","1303.0","train"
"train_dacl10k_v2_train_0008_6","images/train/dacl10k_v2_train_0008.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0008_6.png","graffiti","bridge component unknown","0.010414583333333333","4999.0","train"
"train_dacl10k_v2_train_0008_7","images/train/dacl10k_v2_train_0008.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0008_7.png","graffiti","bridge component unknown","0.013235416666666666","6353.0","train"
"train_dacl10k_v2_train_0008_8","images/train/dacl10k_v2_train_0008.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0008_8.png","efflorescence","bridge component unknown","0.008179166666666666","3926.0","train"
"train_dacl10k_v2_train_0008_10","images/train/dacl10k_v2_train_0008.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0008_10.png","spalling","bridge component unknown","0.005310416666666666","2549.0","train"
"train_dacl10k_v2_train_0008_11","images/train/dacl10k_v2_train_0008.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0008_11.png","rockpocket","bridge component unknown","0.00178125","855.0","train"
"train_dacl10k_v2_train_0008_12","images/train/dacl10k_v2_train_0008.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0008_12.png","spalling","bridge component unknown","0.0016375","786.0","train"
"train_dacl10k_v2_train_0008_13","images/train/dacl10k_v2_train_0008.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0008_13.png","spalling","bridge component unknown","0.00196875","945.0","train"
"train_dacl10k_v2_train_0008_14","images/train/dacl10k_v2_train_0008.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0008_14.png","spalling","bridge component unknown","0.0016854166666666667","809.0","train"
"train_dacl10k_v2_train_0009_0","images/train/dacl10k_v2_train_0009.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0009_0.png","graffiti","bridge component unknown","0.04271339699074074","118094.0","train"
"train_dacl10k_v2_train_0009_2","images/train/dacl10k_v2_train_0009.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0009_2.png","graffiti","bridge component unknown","0.00038773148148148147","1072.0","train"
"train_dacl10k_v2_train_0009_3","images/train/dacl10k_v2_train_0009.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0009_3.png","graffiti","bridge component unknown","0.0005023871527777778","1389.0","train"
"train_dacl10k_v2_train_0009_4","images/train/dacl10k_v2_train_0009.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0009_4.png","wetspot","bridge component unknown","0.0028993055555555556","8016.0","train"
"train_dacl10k_v2_train_0009_5","images/train/dacl10k_v2_train_0009.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0009_5.png","rust","bridge component unknown","0.00020869502314814815","577.0","train"
"train_dacl10k_v2_train_0010_0","images/train/dacl10k_v2_train_0010.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0010_0.png","graffiti","bridge component unknown","0.14862","111465.0","train"
"train_dacl10k_v2_train_0010_1","images/train/dacl10k_v2_train_0010.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0010_1.png","graffiti","bridge component unknown","0.14430533333333334","108229.0","train"
"train_dacl10k_v2_train_0010_2","images/train/dacl10k_v2_train_0010.jpg","data/processed/dacl10k/crops/train/train_dacl10k_v2_train_0010_2.png","graffiti","bridge component unknown","0.017398666666666666","13049.0","train"
