damage_class,component_class
graffiti,bridge component unknown
graffiti,bridge component unknown
graffiti,bridge component unknown
wetspot,bridge component unknown
graffiti,bridge component unknown
graffiti,bridge component unknown
weathering,bridge component unknown
hollowareas,bridge component unknown
graffiti,bridge component unknown
graffiti,bridge component unknown
spalling,bridge component unknown
graffiti,bridge component unknown
graffiti,bridge component unknown
graffiti,bridge component unknown
weathering,bridge component unknown
spalling,bridge component unknown
graffiti,bridge component unknown
graffiti,bridge component unknown
graffiti,bridge component unknown
spalling,bridge component unknown
rust,bridge component unknown
graffiti,bridge component unknown
graffiti,bridge component unknown
graffiti,bridge component unknown
graffiti,bridge component unknown
spalling,bridge component unknown
rust,bearing
spalling,bridge component unknown
restformwork,bridge component unknown
crack,bridge component unknown
restformwork,bridge component unknown
efflorescence,bridge component unknown
efflorescence,bridge component unknown
efflorescence,bridge component unknown
efflorescence,bridge component unknown
spalling,bridge component unknown
spalling,bridge component unknown
efflorescence,bridge component unknown
weathering,bridge component unknown
spalling,bridge component unknown
spalling,bridge component unknown
restformwork,bridge component unknown
restformwork,bridge component unknown
efflorescence,bridge component unknown
rust,bridge component unknown
weathering,bridge component unknown
weathering,bridge component unknown
weathering,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
weathering,bridge component unknown
efflorescence,bridge component unknown
efflorescence,bridge component unknown
restformwork,bridge component unknown
spalling,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
rockpocket,bridge component unknown
rockpocket,bridge component unknown
spalling,bridge component unknown
efflorescence,bridge component unknown
rockpocket,bridge component unknown
rockpocket,bridge component unknown
crack,bridge component unknown
spalling,bridge component unknown
spalling,bridge component unknown
restformwork,bridge component unknown
graffiti,bridge component unknown
rockpocket,bridge component unknown
hollowareas,drainage
rockpocket,bridge component unknown
hollowareas,bridge component unknown
crack,bridge component unknown
crack,bridge component unknown
restformwork,bridge component unknown
restformwork,bridge component unknown
spalling,bridge component unknown
spalling,bridge component unknown
spalling,bridge component unknown
spalling,bridge component unknown
spalling,bridge component unknown
spalling,bridge component unknown
efflorescence,bridge component unknown
spalling,bridge component unknown
weathering,bridge component unknown
spalling,bridge component unknown
weathering,bridge component unknown
efflorescence,bridge component unknown
efflorescence,bridge component unknown
spalling,bridge component unknown
cavity,bridge component unknown
cavity,bridge component unknown
cavity,bridge component unknown
cavity,bridge component unknown
weathering,bridge component unknown
rust,bridge component unknown
spalling,bridge component unknown
restformwork,bridge component unknown
efflorescence,bridge component unknown
efflorescence,bridge component unknown
efflorescence,bridge component unknown
efflorescence,bridge component unknown
restformwork,bridge component unknown
weathering,bridge component unknown
spalling,bridge component unknown
spalling,bridge component unknown
hollowareas,bridge component unknown
hollowareas,bridge component unknown
spalling,bridge component unknown
weathering,bridge component unknown
spalling,bridge component unknown
crack,bridge component unknown
rockpocket,bridge component unknown
cavity,bridge component unknown
cavity,bridge component unknown
cavity,bridge component unknown
cavity,bridge component unknown
cavity,bridge component unknown
cavity,bridge component unknown
cavity,bridge component unknown
cavity,bridge component unknown
cavity,bridge component unknown
cavity,bridge component unknown
cavity,bridge component unknown
cavity,bridge component unknown
cavity,bridge component unknown
cavity,bridge component unknown
cavity,bridge component unknown
cavity,bridge component unknown
cavity,bridge component unknown
hollowareas,bridge component unknown
crack,bridge component unknown
weathering,drainage
weathering,drainage
crack,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
hollowareas,bridge component unknown
spalling,bridge component unknown
spalling,bridge component unknown
spalling,bridge component unknown
spalling,bridge component unknown
weathering,bridge component unknown
spalling,bridge component unknown
spalling,bridge component unknown
spalling,bridge component unknown
spalling,bridge component unknown
spalling,bridge component unknown
efflorescence,bridge component unknown
efflorescence,bridge component unknown
efflorescence,bridge component unknown
hollowareas,bridge component unknown
hollowareas,bridge component unknown
restformwork,bridge component unknown
crack,bridge component unknown
cavity,bridge component unknown
spalling,bridge component unknown
spalling,bridge component unknown
weathering,drainage
efflorescence,drainage
weathering,bridge component unknown
wetspot,drainage
wetspot,bridge component unknown
cavity,bridge component unknown
cavity,bridge component unknown
hollowareas,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
spalling,bridge component unknown
spalling,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
spalling,bridge component unknown
rust,bridge component unknown
rust,bridge component unknown
rockpocket,bridge component unknown
rockpocket,bridge component unknown
cavity,bridge component unknown
spalling,bridge component unknown
spalling,bridge component unknown
cavity,bridge component unknown
spalling,bridge component unknown
rockpocket,bridge component unknown
spalling,bridge component unknown
cavity,bridge component unknown
cavity,bridge component unknown
weathering,bridge component unknown
rockpocket,bridge component unknown
